Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
India Pesticides,33.89,0.39,2.67,6.39,4.05,-45.11,0.02,7.62,2.65,0.71,1.88,65.33,1.15,4.38,10.74,26.37,2128.22,19.59,212.01,3.17,4.98,-19.4,0,699.54,13.25,2217.72,5.67,19.79,63.61,-30.12
Beekay Steel Ind,9.74,0.16,1.28,8.22,2.04,26.95,0.24,11.17,0.99,0.84,3.14,124.37,1.26,10.68,10.73,12.49,1444.12,8.1,-814.56,1.25,-89.55,-7.9,0,977.93,13.13,1225.48,65.21,223.49,71.5,-1.85
Syschem (India),124.9,0,2.7,2.15,1.31,-77.55,0.01,6.97,0.77,1.55,5.33,1.23,2.25,1.78,10.72,18.27,158.44,28.65,-10.52,0.65,5.71,71.73,0,243.09,2.2,158.09,0.31,0.45,53.17,-18.35
Deepak Fertiliz.,22.93,0.89,2.24,3.58,1.28,-40.42,0.77,7.67,0.89,0.75,4.9,528.03,2.15,7.64,10.72,2.79,17924.75,11.31,-72.06,1.64,0.56,-18.32,0,8644.41,17.01,14136.84,41.83,4148.85,45.63,57.18
Alankit,23.45,0,2.06,5.06,1.15,107.79,0.16,9.47,1.12,0.57,13.48,24.07,1.51,5.86,10.72,18.28,601.76,15.33,-18.02,2.52,3.19,-23.63,0,249.02,10.75,626.39,0.97,43.64,54.15,110.45
Chola Financial,18.74,0.03,3.57,2.5,0.47,39.82,13.09,19.81,0.47,0.17,,1949.45,15.03,9.48,10.72,1.57,165507.77,10.34,-1.5,1.3,0.9,40.21,0.01,27810.57,56.63,36042.25,103.82,134014,47.33,74.62
Osiajee Texfab,22.05,0,2.63,7.7,1.78,1.63,0.5,12.37,1.14,0.16,0.06,1.25,1.51,3.85,10.72,,32.07,25.05,-17.25,10.08,,10.12,0,2.72,46.69,27.43,2.31,5.26,2.78,43.98
Sover. Diamonds,29.12,0,1.74,4.39,1.9,-15.13,0.68,8.52,0.68,0.86,1.11,1.01,1.86,6.18,10.71,1.93,40.34,13.27,84.95,1.03,0.76,1.08,0,28.08,10.83,28.84,1.74,11.53,65.01,94.08
LWS Knitwear,13.11,0,1.78,2.99,2.2,435.48,1.6,12.18,1.33,1.61,6.07,1.66,3.84,8.72,10.71,2.92,40.32,11.05,-3.33,0.25,0.49,37.33,0,85.98,4.25,21.25,3.28,19.48,57.83,220.66
VRL Logistics,70.18,0,5.07,4.21,0.54,-58.26,1.1,9,0.43,1.41,18.87,68.2,2.17,3.04,10.7,2.1,5746.77,14.18,57.3,1.61,-55.04,8.61,0,2941.61,12.86,4729.39,7.81,1036.33,60.24,-17.18
Oriental Hotels,69.26,0.31,4.55,5.72,0.39,-12.03,0.33,8.49,0.32,0.46,7,42.25,1.39,2.37,10.69,4.62,3078.06,30.37,78.28,7.28,2.74,-1.47,0.13,394.81,23.25,2874.96,2.37,212.5,67.56,68.97
Prataap Snacks,50.98,0.19,3.43,5.55,1.7,10.9,0.11,7.6,0.94,1.68,8.03,49.13,1.32,3.07,10.69,12.51,2514.47,17.08,110.04,1.49,13.89,-0.4,0,1651.54,8.37,2463.98,20.59,81.09,59.53,27.18
Greenply Industr,46.34,0.14,6.35,3.42,1.28,33.13,0.77,8.44,0.64,1.3,4.42,97.44,2.36,3.42,10.68,3.33,5133.28,22.01,-27.12,1.94,-6.97,33.3,0,2373.48,8.92,4606.56,8.27,549.1,52.01,132.9
Kirloskar Indus.,24.81,0.27,0.97,4.63,1.79,-6.37,0.25,5.41,1,0.74,3.58,202.71,1.74,11.38,10.68,5.54,6078.35,6.36,46.84,0.77,1.15,-0.86,0,6419.12,14.18,4952.06,179.8,1241.25,71.31,63.57
Adtech Systems,26.14,1.22,,5.79,4.93,5.04,0.04,7.94,3.73,0.85,2.8,3.75,1.33,6.28,10.68,5.7,92.77,13.37,,1.77,,-9.87,0,55.06,10.53,97.27,,2.18,67.88,
Himatsing. Seide,14.04,0.17,0.94,2.07,1.24,426.2,1.86,7.76,0.79,0.5,1.59,104.24,3.62,10.95,10.67,1.47,4210.53,6.86,8.22,0.51,-1.49,6.35,0,2894.78,20.55,1476.62,10.59,2897.84,47.57,11.39
ABans Enterprise,21.91,0,1.23,2.55,1.41,-7.79,0.84,5.08,0.98,4.69,17.02,10.41,2.03,9.42,10.66,2.46,377.75,10.36,8.07,0.14,,5.37,0,1748.32,1.79,239.24,1.49,155.09,74.56,16.66
Beekay Niryat,46.99,0.23,1.41,7.58,1.68,-53.95,0.05,9.69,1.68,0.52,,1.63,0.84,2.74,10.66,16.62,79.22,34.59,57.25,5,,-37.13,0,15.41,-1.04,77.11,2.12,2.43,61.61,173.42
Tata Consumer,72.31,0.78,5.16,5.61,1.45,10.65,0.15,8.32,0.84,0.6,2.7,1366.64,1.58,2.19,10.65,8.13,101290.35,37.81,71.4,6.16,2.73,11.87,0,16297.38,15.31,100430.24,11.7,2954.65,33.84,14.44
Virgo Global,,0,11.23,1.96,1.63,-103.12,3.11,35.04,0.32,6.95,-0.74,-0.03,15.27,0.53,10.64,2,10.93,182.17,-8.46,0.11,,74.27,0,79.8,-0.03,8.6,-0.03,2.49,31.01,9.62
Nyssa Corp.,22.07,0,1.27,6.64,1.67,-39.37,0.08,8.11,0.99,0.24,0.59,1.74,1.17,4.58,10.64,,39.89,21.45,8.39,6.26,0.76,-29.79,0,6.01,20.3,37.65,0.58,2.36,26.51,124.56
Rajas. Tube Mfg,35.87,0,2.17,2.49,1.3,-53.27,1.05,8.98,0.39,3.33,5.71,0.5,3.45,7.11,10.63,1.4,26.04,13.09,9.55,0.19,0.5,1.24,0,93.91,2.11,17.39,1.11,8.68,54.48,12.38
Monte Carlo Fas.,27.41,2.55,2.04,4.04,1.64,-52.56,0.48,7.74,0.82,0.7,1.38,59.33,1.89,5.93,10.63,3.03,2026.43,11.78,98.88,1.57,71.38,-8.26,0,1049.14,13.79,1651.74,28.62,381.97,73.17,2.42
Brahmaputra Inf.,9.59,0,1.13,2.6,1.47,77.86,1.24,10.61,0.69,0.34,0.8,20.4,3.81,11.67,10.63,2.06,390.67,8.21,-6.63,0.78,0.34,29.23,100,246.89,19.27,193.24,7.03,214.64,74.05,51.55
OneClick Logisti,49.97,0,2.78,5.05,3.07,247.37,0.19,9,3.07,2.2,,0.66,1.1,3.07,10.63,11.11,31.95,29.05,,1.13,,638.56,0,28.73,3.45,32.39,1.83,2.24,67.17,-6.2
Bharat Bijlee,38.82,0.78,2.71,5.7,1.6,41.01,0.08,8.01,1.1,0.82,4.49,130.04,1.22,3.78,10.62,10.69,5239.52,25.33,71.82,2.91,1.51,14.09,0,1805.79,9.34,5258.85,115.07,150,33.69,141.52
Prakash Industri,8.01,0.77,0.92,7.5,1.01,47.52,0.12,10.42,0.62,0.89,8.71,349.25,1.37,13.81,10.58,7.85,2965.25,5.42,15.77,0.75,-0.78,7.58,10.61,3831.35,13.22,2879.09,19.5,362.28,44.28,-10.62
Halder Venture,15.27,0.14,3.83,2.93,1.26,718.13,4.01,20.91,0.74,1.61,3.36,14.89,6.72,9.08,10.57,2.06,455.8,9.82,287.7,0.34,0.54,68.12,0,673.52,5.68,226.39,47.11,237.84,65.68,145.62
Inani Securities,8.87,0,0.61,5.12,1.99,235.9,0.01,6.92,1.97,0.14,0.33,1.31,1.3,62.52,10.55,7.56,3.03,1.26,-13.06,8.02,0.16,51.06,0,1.42,-42.96,11.39,2.98,0.22,57.32,29.27
Repco Home Fin,7.61,0.6,1.08,3.01,8.37,27.22,3.7,14.59,8.37,0.12,,411.05,4.53,10.64,10.53,1.62,13331.16,9.29,-23.67,2,0.7,16.49,0,1567.87,90.11,3138.07,65.7,10701.04,37.13,26.7
Dilip Buildcon,40.01,0.22,1.6,0.37,1.32,256.24,1.71,1.39,0.81,0.75,1.71,169.36,3.79,9.62,10.53,1.21,13622.53,8.27,-2.71,0.58,-1.15,14.47,15.47,12225.28,12.31,7118.66,20.58,7240.35,70.15,51.39
Pritika Engineer,66.21,0,5.61,3.05,1.41,-4.26,1.52,10.01,0.76,0.79,3.47,3.37,2.77,3.18,10.53,2.01,282.28,22.51,,2.52,,6.94,0,88.71,13.89,223.9,2.56,60.25,74.6,147.08
Ekam Leasing,7.27,0,0.5,5.92,3.5,377.27,0.18,7.34,3.5,0.06,,0.61,1.19,19.86,10.52,4.38,5.28,5.03,19,6.92,0.45,3.23,0,0.64,53.12,4.43,1.02,1.57,27.7,29.88
Morgan Ventures,5.19,0,1.11,4.47,13.97,645.36,2.45,16.94,0.55,0.1,0,13.64,3.5,11.26,10.51,2.65,226.42,8.87,-73.39,2.79,0.12,284.35,0,25.29,95.41,70.45,13.78,155.99,74.8,82.62
Akshar Spintex,24.1,0.81,1.85,4.6,1.58,208.14,0.43,8.19,0.4,2.33,7.68,3.19,1.71,6.51,10.51,4.46,90.49,8.5,20.28,0.41,2.47,38.1,0,173.52,4.57,71.52,0.04,18.98,0.72,-94.55
Arunis Abode,20.3,0,1.21,4.73,4.6,-76.51,0.13,6.81,4.6,0.13,,0.39,1.39,9.26,10.5,3.12,8.78,8.96,-216.98,6.97,0.59,-71.36,0,1.14,44.74,7.95,1.3,0.87,70.17,2.81
Unifinz Capital,88.75,0,23.58,-4.08,0.17,204,7.13,-26.82,0.17,1.07,,1.04,7.56,5.39,10.5,1.3,117.92,16.42,-12.77,2.27,,244.08,0,40.67,17.58,92.28,3.31,26.37,66.58,517.44
Tour. Fin. Corp.,13.79,1.82,1.14,4.39,1.75,5.5,0.9,8.65,1.75,0.12,,92.14,1.9,9.83,10.49,2.15,2223.86,10.16,-549.21,5.23,12.63,7.31,0,244.49,89.4,1279.75,10.13,977.66,7.85,43.79
Rite Zone,20.57,0,1.64,5.81,3.72,36.14,0.06,8.29,3.71,1.37,317.69,1.13,1.37,7.13,10.49,21.71,20.5,11.52,-7.95,0.84,,18.97,0,26.72,6.06,22.42,2.67,0.8,41.89,-9.25
Simplex Castings,77.79,0,6.24,0.99,1.16,20.56,2.16,4.62,0.46,0.83,1.23,2.99,4.47,4.17,10.48,1.46,300.91,17.88,23.87,2.02,4.88,-14.95,0,114.92,13.5,232.26,5.53,71.76,52.39,561.25
Allied Digital,32.94,0.53,2.69,6.23,3.6,-13.57,0.1,8.23,3.22,0.93,9,47.69,1.27,4.67,10.48,13.47,1576.6,18.18,45.6,2.37,0.97,3.07,0,697.2,12.15,1654.85,8.63,59.64,52.09,145.04
Fedbank Financi.,15.46,0,1.77,2.42,0.78,29.76,3.69,13.53,0.78,0.16,,261.05,4.47,8.76,10.48,1.47,13652.8,11.7,-4.23,2.25,0.33,29.12,0,1811.32,61.31,4081.59,7.23,9993.16,61.16,
NTPC,18.82,1.86,2.51,4.64,0.85,19.97,1.48,13.62,0.66,0.39,6.84,21412.79,2.88,6.48,10.47,3.35,626436.73,10.87,23.79,2.15,2.7,4.45,0,183946.36,27.97,396153.09,22.08,237130.98,51.1,75.76
Dynamatic Tech.,96.98,0.14,6.83,3.8,1.31,-16.26,0.88,10.19,0.78,0.88,2.48,50.38,2.43,2.22,10.46,1.89,5431.72,28.89,75.08,3.47,5.64,3.35,0,1413.1,11.5,4908.04,144.83,585.09,41.87,70.81
Kabra Extrusion,51.75,0.83,3.28,4.69,1.75,-26.97,0.19,7.58,0.78,0.9,1.91,28.67,1.5,3.14,10.45,5.88,1679.66,22.29,-36.04,3.09,8.32,-27.51,0,508.04,13.46,1570.27,10.21,112.34,60.24,-0.06
Espire Hospi,150.51,0,85.94,5.32,1.01,360.98,16.23,126.11,1.01,0.74,104.17,1.89,14.53,1.02,10.44,2,331.51,44.14,-21.39,6.51,1.37,64.64,0,42.84,14.71,278.78,1.4,53.73,74.07,316.4
Navin Fluo.Intl.,73.23,0.37,6.7,5.82,1.24,-39.74,0.57,10.07,0.81,0.52,2.51,218.31,1.66,1.97,10.43,5.17,17723.2,40.35,-39.42,7.63,8.08,-3.57,1.06,2144.31,18.35,16369.81,52.12,1383.61,28.43,-8.76
Trident,51.2,1.09,3.91,4.83,1.58,-18.22,0.49,8.16,0.77,0.95,3.27,329.33,1.67,3.4,10.43,3.67,18483.04,18.57,59.64,2.39,-42.38,14.83,0,7057.83,13.24,16888.37,0.65,2125.87,73.19,-1.63
Yuken India,65.72,0.13,5.32,4.08,1.32,266.85,0.28,7.81,0.84,0.92,2.57,22.69,1.64,2.5,10.43,5.09,1542.39,28.42,-586.53,3.37,74.72,16.97,0,437.63,11.22,1475.02,17.49,78.16,56.16,58.99
Finolex Inds.,35.26,0.84,3.33,6.25,1.17,111.59,0.07,7.91,0.51,0.66,4.26,523.42,1.18,3.86,10.42,21.33,19031.97,22.8,42.35,4.36,14.62,-2.45,0,4278.75,14.92,18669.67,13.69,393.95,52.47,46.76
Cholaman.Inv.&Fn,32.42,0.14,6.05,2.53,2.27,30.02,6.86,20.16,2.27,0.14,,3657.27,6.9,6.02,10.41,1.49,248251.74,16.36,-5.09,5.66,1.38,46.83,0,20869.87,71.51,118170.59,43.74,134474.88,50.33,20.9
Adani Wilmar,59.35,0,4.95,1.54,1.28,72.92,0.29,3.65,0.56,2.56,6.29,689.06,2.32,3.91,10.41,2.37,41041.32,21.46,-4675.54,0.82,-15.04,-5.61,0,50613.79,3.22,41342.56,4.93,2360.38,87.87,-3.21
Atal Realtech,54.35,0,3.04,3.99,2.69,2.88,0.24,5.85,0.82,0.76,0.16,2.11,1.42,3.81,10.4,2.98,123.23,23.43,-64.9,2.86,80.81,0.49,0,39.98,12.51,114.24,0.19,9.21,49.25,-43.61
Natl. Plastic,34.81,0,1.62,1.83,1.56,-60.4,1.08,4.76,0.9,1.02,2.47,1.77,2.55,8.35,10.37,4.28,90.06,8.88,7.86,0.59,-6.59,-5.87,0,103.59,9.09,61.49,1.94,41.14,56.65,23.79
Competent Auto,11.4,0.19,0.93,4.38,1.24,7.82,0.94,8.54,0.61,3.29,12.77,27.86,1.87,10.13,10.37,2.57,639.34,7.23,-10.55,0.16,0.95,14.41,0,2112.77,3.84,331.06,44.83,323.39,74.92,61.2
Mangal Credit,22.99,0.43,2.21,4.42,2.04,34.28,1.12,8.98,2.04,0.14,,11.83,1.94,6.97,10.35,2.46,389.64,13.77,-7.23,7.12,1.89,51.35,0,37.52,75.24,267.14,6.08,138,51.71,36.79
Indoco Remedies,44.51,0.46,2.68,4.68,1.55,-47.64,0.61,8.33,0.97,0.96,1.81,66.95,1.71,3.91,10.35,3.19,3602.99,14.93,-35.94,1.62,0.43,8.03,0,1822.28,12.67,2955.36,8.32,671.95,58.75,0.8
Fortis Health.,69.85,0.17,5.85,5.03,0.45,22.92,0.15,7.85,0.41,0.55,15.1,642.02,1.64,2.28,10.34,7.7,45306.86,32.56,110.04,6.31,1.63,9.7,0,7094.41,18.86,44750.25,8.65,1155.01,31.17,82.65
SIS,34.38,0,2.34,3.23,1.19,-53.39,0.69,7.9,1.18,2.11,4.65,164.76,2.4,6.32,10.34,2.64,6552.72,11.12,40.13,0.45,-12.95,6.61,0,12414.56,4.17,5635.2,11.35,1658.04,71.69,-9.92
Titaanium Ten,16.84,0,1.35,2.17,1.41,-0.71,2.42,8.34,1.21,2.99,9.85,1.39,3.69,9.94,10.33,1.44,67.96,10.04,9.05,0.15,1.54,-17.68,0,191.35,3.45,28.1,1.96,41.85,67.06,-29.41
Jagatjit Inds.,1359.55,0,14.61,1.16,0.78,-94.02,3.56,9.2,0.47,1,7.46,0.82,7.34,1.99,10.32,1.03,1359.97,37.26,-576.02,2.07,86.35,2.86,0,541.05,2.38,1120.91,0.14,270.97,87.33,40.8
Oceanic Foods,15.11,0,1.39,4.68,1.69,9.93,0.49,7.78,1.13,2.03,5.67,3.1,1.6,9.35,10.32,7.88,61.43,9.47,18.61,0.42,25.67,44.95,0,121.16,5.34,50.92,2.76,16.53,74.07,37.65
Paras Defence,101.89,0,8.5,5.18,2.35,13.17,0.15,7,1.47,0.44,1.02,38.33,1.3,1.47,10.32,9.33,4074.39,56.38,-275.05,13.92,10.95,25.55,0,288.75,22.27,4020,10.49,65.8,58.94,39.48
Mono Pharmacare,25.06,0,2.17,3.42,2.24,248.57,1.47,11.76,1.06,1.7,2.95,2.44,2.56,6.23,10.32,2.02,100.62,15.5,,0.49,,353.28,0,122.34,5.22,59.54,1.38,41.44,56.72,-21.9
W I Plywoods,51.92,0.63,3.71,4.66,2.37,0.65,0.44,8,1.68,1.5,4.34,3.09,1.68,3.39,10.31,4.85,167.91,23.19,48.56,1.45,1.93,3.34,10.1,110.39,6.04,159.68,3.64,18.87,40.79,51.72
Ashapuri Gold,25.6,0,2.03,7.06,9.61,370.83,0.06,7.62,3.71,1.77,2.51,11.3,1.03,5.27,10.3,32,305.93,18.44,-308.97,1.28,0.34,79.54,0,231.79,6.23,297.65,0.34,8.34,48.06,-16.46
