Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
eMudhra,95.98,0.14,11.26,12.67,5.75,22.47,0.01,14.38,5.71,0.62,16.9,77.23,0.92,1.39,17.66,33.07,7286.27,60.14,-407.13,19.5,3.07,39.64,0,385.81,29.2,7524.07,9.62,7.64,54.4,110.63
Kings Infra,42.78,0,6.33,9.02,2.01,23.13,0.64,16.55,1.07,1.05,2.88,8.57,1.49,3.85,17.65,3.92,392.61,24.52,-894.86,3.67,0.91,38.05,0,97.53,16.19,358.02,3.56,37.25,68.78,13.51
Rudrabhish. Ent.,25.4,0,2.88,8.44,2.92,12.46,0.09,12.58,2.92,0.6,,13.54,1.4,6.12,17.64,10.09,347.66,15.42,-73.51,3.38,2.27,11.88,0,101.32,20.91,342.16,7.81,10.15,68.64,0.73
Balkrishna Inds,35.08,0.54,6.46,11.07,0.9,50.57,0.35,17.55,0.54,0.72,3.21,1629.6,1.47,3.76,17.62,20.02,59959.07,20.51,10627.65,5.74,2.52,6.72,0,9924.02,24.37,56939.63,84.3,3099.44,58.29,15.18
Pentagon Rubber,17.7,0,2.69,10,4.27,43.23,0.83,23.44,2.93,1.3,2.8,4.44,1.52,7.59,17.62,8.92,91.7,12.75,-21.48,1.36,,33.56,0,57.67,12.03,78.64,5.76,24.34,70.04,-8.97
SP Refractories,20.68,0,3.07,9.39,2.21,151.61,0.45,16.05,1.57,1.73,6.39,1.56,1.58,7.04,17.6,6.05,36.93,12.6,-30.13,1.12,0.42,5.76,0,28.81,10.07,32.26,8.72,4.68,69.42,97.53
Tata Comm,62.71,0.93,28.84,4.81,0.59,-38.08,6.99,65.21,0.57,0.93,2.92,817.87,12.56,3.08,17.55,2.63,62602.43,13.79,23.18,2.23,0.85,21.26,0,22725.68,19.5,50717.02,32.49,12420.37,58.86,11.4
Fredun Pharma,19.39,0.1,2.81,5.53,1.54,34.5,0.88,15.02,0.49,1.23,1.62,17.35,2.36,8.59,17.55,2.53,451.86,10.82,-27.15,0.95,0.7,26.09,0,365.83,11.42,347.7,36.95,105.51,49.17,-13
Goldstar Power,68.94,0,9.9,8.24,1.45,7.71,0.65,15.48,0.84,1.02,3.15,4.05,1.74,2.47,17.54,3.99,303.31,34.04,606.87,5.69,2.2,0.38,0,50.17,13.47,285.24,0.17,18.22,72.91,-44.1
Shankara Build.,14.56,0.63,1.46,5.58,1.67,16.97,0.11,11.34,1.03,3.36,10.02,79.9,1.8,12.09,17.53,3.63,1240.08,7.6,43.97,0.24,0.74,15.2,0,4987.28,3.16,1187.83,33.41,86.65,49.22,-30.87
Spacenet Enterpr,125.86,0,16.4,10.27,3.9,119.42,0.01,17.77,3.87,1.23,537.9,10.51,1.31,0.86,17.52,379.33,1323.12,111,-136.61,9.44,,-4.34,0,140.68,8.25,1328.36,0.19,0.89,15.67,-2.15
Vardhman Special,21.72,0.76,2.99,8.7,2.38,11.73,0.12,13.22,1.12,1.61,3.29,99.14,1.44,6.81,17.51,8.03,2225.41,12.11,44.43,1.29,0.67,-0.5,0,1666.78,9.33,2149.46,12.18,83.71,60.53,28.65
Rajratan Global,39.08,0.35,5.36,9.17,1.13,0.03,0.58,15.4,0.78,1.14,8.17,74.21,1.59,3.69,17.51,5.3,3152.49,22.9,606.9,3.04,1.76,11.96,0,937.73,14.51,2852.61,14.62,314.14,65.14,-25.79
IEL,25.93,0,10.71,7.12,5.35,-21.59,0.54,23.64,5.35,4.69,32.42,0.69,2.97,4.66,17.5,,18.38,20.2,142.72,0.88,0.28,107.72,0,19.92,2.36,17.59,0.21,0.9,11.11,-54.31
Epigral,33.56,0.25,6.69,7.49,0.64,-9.79,0.77,16.86,0.31,0.74,5.06,250.11,2.08,4.74,17.49,6.39,9525.57,16.72,705.02,4.03,18.03,0.71,0,2125.5,26.46,8568.33,60.19,964.04,71.58,121.04
Varroc Engineer,15.44,0,5.42,11.47,0.74,466.16,0.93,41.91,0.43,1.65,7.35,526.19,3.05,5.27,17.48,2.61,9255.48,11.13,73.2,1.05,3.61,8.26,0,7645.11,10,7996.05,34.44,1389.72,75,14.56
PDS,47.64,0.96,5.57,5.66,1.1,-41.13,0.9,13.01,0.98,2.89,28.31,145.3,3.07,4.89,17.47,3.06,7469.51,16.54,25.42,0.65,1.81,5.09,0,10878.77,3.65,7099.66,11.03,1053.93,61.69,-8.94
Galaxy Surfact.,33.65,0.76,4.72,10.74,2.49,-13.99,0.09,14.9,1.57,1.35,4.26,306.01,1.29,3.89,17.45,19.29,10213.14,20.37,47.99,2.68,3.52,-9.71,0.02,3826.67,12.1,10265.01,86.31,187.42,70.91,8.8
Rategain Travel,51.61,0,5.9,10.93,4.67,95.38,0.01,13.44,4.67,0.72,,165.86,0.92,2.64,17.45,161.45,8293.84,32.45,124.06,8.65,0.69,51.83,0,1002.56,20.12,8668.41,14.3,16.66,48.25,22.46
Steel Str. Wheel,14.07,0.49,2.22,8.56,0.91,17.81,0.73,20.21,0.38,1.43,4.14,227.46,2.11,8.66,17.44,3.3,4212.53,8.88,36.08,0.74,,6.61,0,4337.98,10.69,3207.03,42.58,1048.38,60.98,-24.44
Shree Tirupati,71.6,0,13.04,10.19,1.7,57.24,0.95,20.06,0.94,1.16,2.35,14.12,1.79,2.11,17.43,4.31,1083.9,42.57,-152.49,6.28,4.17,-8.58,0,161.11,14.24,1010.98,13.93,73.52,63.85,133.81
Nalin Lease Fin.,12.97,0,1.78,11.52,1.41,43.38,0.14,13.14,1.37,0.23,0.5,4.33,1.07,9.99,17.39,12.27,57.35,9.29,35.96,7.63,0.69,18.88,0,6.99,72.25,53.36,6.6,4.31,71.39,145.42
Naapbooks,85.5,,8.42,11.25,4.9,163.49,0.11,13.6,4.9,0.53,,1.66,0.88,1.64,17.39,15.67,143.71,50.6,-49.29,18.27,1.34,49.14,0,7.77,36.42,141.93,1.84,1.82,63.91,349.57
Ram Ratna Wires,46.22,0.42,6.39,5.75,1.52,28.47,0.61,13.58,1.03,3.35,14.26,56.68,2.17,4.44,17.37,3.02,2831.06,19.32,38.48,0.83,1.8,17.52,0,3150.39,4.13,2610.97,12.88,249.22,73.04,143.78
Linde India,153.74,0.05,19.69,9.21,1.87,9.7,0.01,12.88,1.79,0.6,17.72,439.73,1.33,0.9,17.36,71.41,67131.55,83.87,336.57,25.21,2.34,-1.22,0,2700.89,26.75,68090.69,51.56,20.69,75,29.45
Panch.Organics,21.18,1.41,2.4,10.02,3.49,1.36,0.05,13.14,2.14,0.75,1.93,14.16,1.13,6.93,17.35,72.96,288.94,13.38,-121.99,2.86,0.76,0.18,0,106.64,17.35,304.72,11.46,6.31,56.12,25.88
Jeyyam Global,17.83,0,,8.37,1.51,91.74,1.2,20.76,0.76,3.49,11.1,15.09,2.25,7.93,17.34,3.24,379,11.27,-10.08,0.45,,64.78,,629.71,5.34,283.08,4.26,96.21,,
Beardsell,21.71,0.23,2.4,5.43,1.36,-13.04,0.4,12.03,1.09,1.61,9.3,7.87,2.03,8.2,17.33,4.11,194.89,8.82,105.52,0.74,0.32,5.36,0,233.34,7.54,173.56,2,28.29,56.1,4.26
Akar Auto Indust,19.61,0.56,2.59,2.72,1.17,-13.53,1.87,13.07,0.51,1.85,3.13,5.88,4.53,10.79,17.33,1.77,193.8,7.65,14.35,0.3,-31.8,1.26,3.62,378.98,6.62,114.08,5.45,83.08,73.06,18.04
Sun Pharma.Inds.,42.96,0.72,7.11,12.08,2.05,19.46,0.05,16.69,1.47,0.58,1.12,10544.46,1.3,2.79,17.32,56.68,434285.19,28.99,64.87,8.97,1.79,9.2,0.79,49208.76,27.03,441532.2,43.3,3273.67,54.48,68.16
MCON Rasayan,40.65,0,5.79,5.87,1.22,95.61,1.02,15.37,0.76,1.1,2.34,2.23,2.43,4.37,17.32,3.05,109.82,19.27,-14.96,2.26,0.47,34.96,0,41.81,12.68,94.56,3.55,15.96,66.65,8.08
Betex India,15.36,0,1.62,6.49,1.86,-4.02,0.13,11.11,1.84,1.73,72.27,3.34,1.62,11.43,17.3,7.76,43.08,7.14,8.06,0.53,0.53,17.54,0,91.94,5.71,48.88,22.27,4.02,53.29,118.11
Qualitek Labs,51.99,0,6.91,9.56,1.7,45.61,0.38,20.35,1.7,0.65,,4.31,1.39,2.88,17.3,7.26,225.34,27.65,-29.69,7.36,,52.46,0,29.18,27.66,214.86,5.85,12.25,73.35,
Garg Furnace,25.19,0,3.73,8.95,3.98,8.73,0.04,18.27,3.26,4.31,21.36,6.6,1.58,4.26,17.28,42.31,161.25,19.31,-54.64,0.65,1.09,8.56,0,258.61,2.68,168.38,15.04,1.49,49.36,92.09
Vidhi Specialty,62.49,0.44,8.15,11.15,4.8,4.2,0.07,13.76,3.36,0.92,3.37,36.71,1.17,2.25,17.28,20.72,2307.06,39.19,199.48,7.49,13.24,-15.5,0,306.72,18.96,2298.47,7.35,20.36,64.27,13.04
ACC,20.92,0.33,2.58,9.82,1.47,137.39,0.02,14.15,1.16,0.91,5.62,2017.29,1.35,6.27,17.27,15.7,40871.81,11.78,1132.62,2.13,2.9,7.54,0,19912.7,14.91,42379.83,118.84,354.85,56.69,18.39
Ashapura Minech.,17.28,0,2.95,6.11,1.19,-11.55,1.07,24.61,0.86,0.84,1.12,156.57,3.45,5.07,17.26,2.68,3598.51,14,-49.61,1.14,0.38,-1.04,14.79,2421.41,9.23,2759.83,26.65,983.57,47.7,-1.69
Ambey,20.14,0,,11.95,1.53,50.66,0.94,31.47,0.87,1.81,5.39,7.97,2.12,4.29,17.26,3.37,181.18,16.98,-72.9,1.26,,14.99,0,120.47,7.54,151.92,4.13,29.64,69.9,
Zaggle Prepaid,86.07,0,8.82,9.45,6.18,214.52,0.15,14.09,6.17,1.67,1.09,58.69,0.81,1.87,17.25,8,5001.67,50.32,-105.76,5.71,,55.89,0,909.33,9.35,5194.35,4.8,86.63,43.93,107.07
Indian Sucrose,6.45,0,1.02,5.62,1.16,13.63,0.97,16.61,0.56,0.9,1.92,33.84,2.73,17.64,17.24,2.61,406.35,4.88,5.44,0.4,0.58,12.82,8.79,541.94,13.27,217.21,19.47,208.78,64.49,47.85
Gufic BioScience,50.66,0.02,8.21,8.99,1.61,8.96,0.63,19.95,1.08,0.83,2.12,86.38,1.83,2.8,17.23,8.27,4765.02,32.04,-42.75,5.46,1.61,13.06,0,814.45,17.91,4445.58,8.69,332.91,72.51,72.76
Aditya Ultra,17.04,0,,6.1,1.28,168.71,1.12,16.95,0.64,4.8,9.89,7.47,2.52,9.31,17.23,2.57,187.11,10.3,58.21,0.23,,10.88,0,587.78,3.07,136.59,4.6,54.27,68.76,
Integra Essentia,36.13,0,2.02,8.51,2.25,-25.99,0.07,16.03,2.16,1.53,,9.37,1.55,3.34,17.22,18.48,338.98,22.14,-258.26,0.88,,48.88,0,372.53,1.05,328.85,0.09,11.6,15.98,6.71
Lumax Industries,19.21,1.4,3.48,4.95,0.8,11.58,1.08,17.63,0.42,1.18,3.59,122.08,3.33,7.47,17.21,4.16,2964,9.16,-53.72,0.82,2.38,14.75,0,2783.95,8.51,2287.93,130.6,722.59,75,18.44
Bansal Roofing,47.93,0,5.7,9.23,1.16,-28.7,0.16,13.75,0.47,2.75,12.97,3.28,1.39,3.09,17.2,9.33,153.99,25.79,-598.22,1.65,4.8,-12.06,0,90.46,6.39,149.37,2.26,4.68,73.38,15.33
Sungarner Energ.,129.71,0,14.13,7.28,1.94,40.54,0.6,16.31,1.29,1.22,1.97,1.04,1.5,1.39,17.19,4.64,140.41,67.18,-40.88,7.71,,0.98,0,17.49,11.03,134.9,4.49,5.7,61.49,193.84
Gajanand,17.91,0,,7.68,1.84,58.87,0.68,19.32,0.55,3.73,5.18,2.24,1.65,7.81,17.17,3.92,51.66,12.48,-25.5,0.37,,48.12,0,108.66,3.73,40.03,1.71,12.07,62.94,
Refractory,60.63,0,,8.04,1.34,122.1,1.16,21.99,0.63,0.81,1.83,4.02,2.46,2.61,17.16,4.42,263.98,29.86,-111.46,6.04,,6.27,0,40.35,15.79,243.72,2.54,23.52,72.48,
Power & Instrum.,43.29,0.09,5.82,5.5,1.68,61.87,0.29,12.39,0.88,0.91,2.09,6.75,2.12,4.27,17.14,3.11,300.63,22.57,134.9,2.82,3.05,-0.96,0,101.54,11.36,286.32,5.34,14.67,40.95,452.08
Ascom Leasing &,30.51,0,3.41,11.82,3.86,0.6,0.05,12.57,3.86,0.29,,4.99,1.06,4.5,17.14,32.71,152.6,21.77,70.5,12.35,7.16,1.48,0,12.33,56.85,152.23,4.24,2.43,73.98,-39.42
Tasty Bite Eat.,191.71,0.02,10.99,9.43,2.2,-62.38,0.3,16.16,1.1,1.19,4.01,16.47,1.58,0.88,17.13,4.43,3248.78,56.09,100.88,6.72,26.27,-7.62,0,471.88,9.07,3170.93,64.19,86.44,74.23,-22.81
Rathi Steel,92.73,0,3.84,1.53,0.97,-60.26,0.09,14.87,0.57,2.32,13.29,4.67,1.88,3.17,17.12,1.5,445.55,19.56,14.67,0.93,5.96,-30.43,0,474,4.56,441.65,3.2,10.4,40.32,79.7
Century Extrus.,23.7,0,2.58,4.96,1.44,26.72,0.66,10.48,0.95,2.57,8.39,7.73,2,9.58,17.11,2.16,210.44,8.73,39.49,0.46,1.88,4.66,13.54,384.83,6.15,178.5,0.98,48.07,52.04,48.39
Honasa Consumer,102.87,0,11.7,9.41,2.14,106.13,0.1,,1.82,1.37,4.58,128.15,1.14,1.38,17.1,20.21,12621.81,62.39,169.46,7.07,1.05,20.2,0,1836.65,8,12991.2,5.56,110.19,34.98,
Nila Spaces,29.43,0,3.8,6.52,1.84,456.7,0.01,11.1,0.9,0.44,0,16.23,1.61,6.24,17.09,3.57,433.61,14.39,-328.1,3.84,0.8,8881.19,0,121.82,14.89,467.41,0.41,1.09,61.9,296.77
Alphalogic Tech.,190.5,0,22.16,10.92,3.07,39.23,0.12,12.25,2.56,1.12,12.02,4.72,1.22,1,17.09,12.56,893.77,97.57,-130.87,13,,147.14,0,68.36,10.21,888.85,0.77,4.93,73.78,287.06
Carysil,36.52,0.25,6.05,7.48,1.17,37.21,0.88,17.58,0.68,0.88,1.76,62.17,2.2,4.28,17.08,4.91,2547.38,17.68,-160.03,3.02,1.32,31.73,0,743.29,18.64,2247.66,23.18,312.23,41.37,29.96
Emk.Global Fin.,14.86,0.55,2.79,3.36,1.24,455.37,0.22,13.37,1.24,0.35,1.15,46.04,3.73,43.14,17.08,11.32,139.74,1.82,-788.11,2.11,0.46,58.99,0,317.57,13.92,670.51,18.62,52.03,74.27,203.5
Avro India,41.48,0,5.17,8.26,1.54,-10.68,0.54,14.67,1.21,1.95,10.6,3.68,1.65,3.76,17.08,4.35,163.32,17.56,-51.16,1.69,1.32,5.94,0,87.39,6.12,148.06,3.65,15.62,70.37,33.3
Ritco Logistics,28.48,0,4.83,8.31,1.58,35.27,1.42,20.53,1.58,2.27,,35.9,2.24,5.57,17.05,3.15,1291.01,15.31,-53.07,1.06,1.26,23.69,0,977.67,8.17,1036.88,14.67,259.55,63.12,53.17
JK Lakshmi Cem.,20.2,0.83,2.89,6.72,0.72,39.68,0.65,15.39,0.23,0.96,3.49,455.22,2.23,8.07,17.04,5.36,10863.03,9.44,249.24,1.37,0.25,1.45,0,6622.1,16.28,9046.26,39.4,2084.02,46.34,18.27
Kokuyo Camlin,38.71,0.31,5.44,8.66,1.77,21.04,0.27,14.49,0.68,1.74,2.86,41.71,1.58,3.68,17.01,13.27,1699.86,20.8,149.56,2.01,1.8,-0.62,0,809.52,9.9,1629.22,4.16,80.34,74.99,19.39
Sabar Flex India,6.76,0,0.9,7.38,2.11,137.16,0.68,16.05,1.24,2.15,5.56,4.34,1.81,16.88,17,3.28,51.24,5.24,-31.51,0.23,0.16,32.42,0,126.17,7.58,29.33,2.52,22.09,38.87,-42.08
Jagsonpal Pharma,53.16,1.1,6.44,10.9,10.42,-27.21,0.05,12.97,9.63,1.01,4.49,22.77,1.1,2.9,16.99,34.91,1105.93,33.1,42.28,5.93,2.15,-11.12,0,209.99,11.76,1244.92,7.72,8.94,68.04,12.3
Pramara Promotio,33.1,0,3.97,5.92,2.47,77.13,1.02,16.13,1.37,0.95,1.65,3.95,2.03,6.13,16.99,1.99,156.41,14.69,424.72,1.99,0.42,26.81,0,63.48,15.74,126.49,4.37,33.69,57.49,78.31
XPRO India,51.53,0.18,4.8,8.91,5.56,26.26,0.08,12.7,4.96,0.91,7.28,48.13,0.99,3.17,16.98,16.67,2140.97,26.6,75.55,5.12,0.54,-1.9,0,473.05,13.21,2423.04,21.76,39,42.46,17
Prima Plastics,8.7,1.14,1.25,11.06,2.56,14.86,0.24,15.03,1.8,0.87,3.15,22.18,1.37,15.16,16.97,8.91,212.61,5.49,23.21,1.05,0.47,-7.59,0,184.47,15.81,192.83,20.16,36.38,58.27,5.73
Natl. Aluminium,20.32,2.27,2.78,9.42,1.87,51.7,0.01,12.58,1.3,0.71,3.4,1995.19,1.27,7.15,16.95,148.21,38667.35,11.13,38.19,3.21,103.1,-5.94,0,12826.15,25.04,41146.12,12.59,96.38,51.28,145.79
F A C T,258.65,0.12,39.66,6.85,1.06,-67.44,1.32,29.39,0.78,0.89,3.46,210.89,4.13,0.63,16.94,1.38,54167.48,148.19,214.33,12.45,9.32,-27.96,0,4421.94,3.53,55036.57,0.4,1810.23,90,28.42
Rishi Laser,16.86,0,2.57,9.54,1.12,33.44,0.22,17.49,0.77,1.55,8.03,8.22,1.68,6.69,16.93,4.24,140.55,11.65,25.79,0.98,0.81,-2.92,0,138.37,8.22,135.87,8.94,12.04,15.84,137.48
Thermax,102.37,0.23,13.74,6.2,1.08,23.26,0.29,14.15,0.91,0.98,6.94,595.08,2.14,1.49,16.93,8.99,60459.27,56.55,-428.81,6.28,10.61,14.42,0,9574.91,8.41,60157.16,58.93,1277.43,61.98,74.98
Wipro,24.32,0.18,3.51,9.46,2.69,0.83,0.24,14.31,2.69,0.78,3.92,11740.8,1.55,5.79,16.93,12.82,295011.2,14.48,22.75,3.23,6.28,-3.36,0,88678.8,19.66,286188.2,22.46,19282.2,72.8,42.36
Marco Cables,39.37,0,4.44,4.02,2.17,17.83,1.48,13.53,1.11,0.95,1.69,3.04,2.8,6.64,16.91,1.71,152.86,14.11,-272.83,1.62,,27.31,0,71.65,14.52,116.4,1.63,40.01,72.18,32.64
Mangalore Chem.,10.01,1.19,1.59,6.23,1.23,-7.27,1.11,18.19,1.08,1.49,14.94,149.44,2.71,15.06,16.9,3.33,2248.31,5.54,142.35,0.42,0.29,2.05,48.93,3651.47,10.01,1537.98,12.61,1038.62,60.62,20.43
Sam Industries,6.73,0,1.18,13.17,0.68,118.72,0.39,17.63,0.46,0.12,0.81,11.92,1.23,13.8,16.89,18.93,102.71,6.89,-26.12,7.35,0.04,-58.18,0,10.71,34.92,78.73,10.75,26.72,74.83,12.77
Federal-Mogul Go,17.03,0,2.04,8.84,2.5,19.48,0.01,12.38,1.98,1.1,3.79,132.45,1.39,10.63,16.89,38.18,1845.79,6.55,32.69,1.3,2.11,5.24,0,1729.33,14.19,2256.09,23.81,7.87,74.98,20.07
G R Infraproject,15.56,0,1.95,8.09,2.96,-29.73,0.5,15.58,2.57,0.67,0.35,955.23,1.76,9.99,16.89,3.38,18007.78,8.83,-17.48,1.75,1.79,-7.93,0,8532.22,22.07,14931.34,120.93,3816.76,74.71,34.99
Krishna Institu.,66.52,0,11.52,9.94,1.03,-6.19,0.74,17.63,0.92,0.74,0.92,315.96,1.84,2.35,16.87,9.41,22603.69,33.38,-577.58,8.25,1.27,11.8,15.35,2580.52,25.68,21297.37,7.9,1355.33,38.82,40.34
Bansal Wire Inds,97.18,0,,8.84,2.01,10.45,1.49,23.43,1.07,3.05,7.53,66.19,2.65,1.73,16.87,4.7,6780,52.62,36748.3,2.78,3.05,-5.29,0,2284.39,5.45,6358.64,5.37,422.2,77.99,
Radix Industries,108.44,0.3,13.15,10.99,29.4,28.49,0.04,11.99,2.21,1.63,1.7,2.3,1.07,1.38,16.85,10.42,241.86,68.32,50.13,7.34,8.55,7.98,0,32.88,10.43,241.24,1.53,0.76,74.96,48.39
Purshottam Inves,2.91,0,0.77,9.79,5.5,2018.37,1.15,25.07,0.76,0.93,3.14,10.38,2.19,17.86,16.85,4.99,74.26,5.48,-4.16,0.37,0.03,115.01,0,81.1,16.66,30.41,16.52,44.91,0,166.8
Morepen Labs.,36.07,0,4.68,8.04,2.21,146.91,0.03,12.02,1.59,1.41,4.59,117.7,1.42,3.97,16.83,36.6,4371.37,21.95,-48.42,2.52,1.37,15.07,0,1744.61,10.56,4394.49,2.3,29,35.65,134.49
Vimta Labs,31.1,0.37,3.81,10.16,2.9,-17.23,0.06,12.87,2.44,0.83,2.06,38.82,1.2,4.48,16.82,24.92,1216.68,13.9,85.8,3.93,3.67,-2.42,0,310.9,26.83,1221.93,17.51,19.19,36.89,3.88
Sanmit Infra,51.15,0.27,5.74,8.81,2.81,-15.43,0.27,13.26,2.54,1.86,14.83,4,1.42,3.04,16.8,6.04,212.23,24.12,-103.25,2.35,1.1,-37.63,0,86.19,10.21,202.72,0.25,9.76,72.33,-82.35
Mallcom (India),24.76,0.21,3.82,9.47,1.71,-4.92,0.39,15.95,0.93,1.13,2.3,36.32,1.56,5.64,16.78,12.04,977.18,15.83,-84.52,2.14,1.36,2.63,0,428.62,13.49,916.95,58.21,92.7,73.67,38.4
Balaji Amines,34.25,0.53,3.89,11.29,6.7,-23.46,0.01,12.49,4.78,0.8,3.64,195.4,1.19,4.37,16.76,49.62,6412.2,19.8,72.83,4.31,2.92,-27.28,0,1562.59,18.67,6732.29,60.31,19.7,53.7,-1.66
Tiger Logistics,39.36,0,5.53,9.85,4.22,-24.1,0.11,12.43,4.22,1.83,,15.56,1.19,3.75,16.73,28.05,625.89,27.57,47.92,2.19,2.72,-18.67,0,299.4,5.96,655.6,1.47,12.04,57.1,23.78
Suyog Gurbaxani,73.54,0,26.07,5.7,3.62,1703.23,5.51,43.07,3.39,0.64,-0.51,5.59,6.22,3,16.72,2.1,500.02,32.96,-165.76,6.55,2.53,250.47,0,63.12,23.95,413.21,2.25,86.92,64,94.53
Campus Activewe.,105.45,0,13.48,7.79,2.47,-28.93,0.27,14.88,0.97,1.26,1.64,83.34,1.76,1.47,16.71,6.6,8961.01,44.16,99.78,6.14,6.06,-4.44,0,1433.69,13.69,8808.06,2.73,177.76,73.86,2.84
Bombay Cycle,19.92,0.29,2.43,10.14,2.19,12.83,0.02,12.78,2.19,0.27,38,3.43,1.19,6.68,16.7,90.8,66.85,14.28,29.13,6.97,2.81,11.96,0,9.64,21.27,67.2,85.75,0.61,72.46,58.9
Sigachi Indust.,26.14,0.22,3.53,10.73,1.67,41.88,0.35,16.38,1.29,0.75,3.5,59.02,1.24,4.96,16.69,8.4,1634.87,17.56,-28.46,3.76,1.06,32.92,23.37,409.97,19.85,1540.86,1.85,151.07,44.71,16.55
HRH Next,54.2,0,4.6,5.4,1.89,-40.67,0.48,11.32,1.89,1.38,,1.78,1.57,4.03,16.66,2.75,103.42,15.16,-19.94,2.06,,-11.28,0,45.37,14.35,93.43,2,10.16,69.61,
MOS Utility,97.43,0,9.12,9.59,2.65,123.69,0.06,13.85,2.28,2.36,-0.01,7.02,1.05,1.44,16.66,17.8,670.9,55.45,,3.6,,75.97,0,186.77,6.18,673.26,4.51,4.59,64.67,194.95
Satin Creditcare,3.99,0,0.75,4.76,7.94,49.93,3.3,21.81,7.94,0.24,,453.35,3.82,18.61,16.65,1.63,8472.56,5.31,-2.02,0.76,0.24,44.45,0,2407.95,65.98,1828.75,42.09,7914.94,36.17,-26.72
Motisons Jewel,86.23,0,8.53,7.99,3.37,46.06,0.34,13.94,0.38,1.03,0.92,32.44,1.24,2.16,16.65,3.61,2817.3,44.19,-189.83,6.57,1.5,13.8,0,416.75,15.2,2738.78,3.27,111.24,66,
JTEKT India,40.52,0.36,5.09,8.53,1.66,22.25,0.14,12.94,1.12,1.9,8.13,103.09,1.44,3.52,16.63,21.17,4393.37,19.02,-294.69,1.88,5.27,12.75,0,2320.87,9.4,4353.34,4.14,115.39,74.98,25.3
Kalyani Steels,14.13,1.3,1.99,10,1.59,16.18,0.35,15.51,1.33,0.79,4.5,237.77,1.46,10.07,16.63,15.79,3499.34,8.65,-25.64,1.79,0.98,1.09,0,1924.12,18.6,3444.15,54.47,596.24,64.7,71.09
Kahan Packaging,19.07,0,2.18,5.78,1.6,-1.96,0.73,18.32,0.84,1.41,3.5,1,1.98,8.3,16.63,2.85,25.07,10.32,-11.36,0.78,,20.16,0,24.38,9.72,19.07,3.68,6.35,73.49,-32.85
Krishanveer Forg,30.09,1.58,3.53,8.26,3.42,41.67,-0.03,10.74,2.08,1.73,5.57,4.59,1.24,4.89,16.62,16.6,141.53,17.26,302.82,1.6,4.05,10.6,0,89.85,9.13,143.86,4.2,-1.14,72.47,122.47
Cybertech Sys.,25.65,0.97,2.94,9.77,2.69,15.27,0.03,12.04,2.69,0.95,,24.76,1.07,6.12,16.62,52.79,580.19,13.81,22.75,2.88,1.35,16.26,0,224.31,11.67,645.79,8.1,7.54,36.43,48.57
Shri Venkatesh,20.94,0.7,3.82,7.42,1.68,24.55,1.58,20.62,0.33,2.84,3.48,15.17,2.54,6.54,16.62,3.44,455.18,15.16,-20.29,0.56,0.34,-2.98,0,587.66,5.03,330.46,6.86,131.51,73.53,49.77
Aarti Pharma,23.71,0.51,3.04,8.97,1.84,19.36,0.16,13.06,0.91,0.77,1.77,225.26,1.37,5.86,16.62,18.35,5617.65,13.9,-435.74,2.75,,0.18,0,1949.75,20.39,5356.47,24.86,285.25,46.1,54.23
Medicamen,25.59,0,,6.74,1.25,147.42,0.83,19.87,0.97,0.71,1.65,2.4,2.34,5.49,16.62,6.22,75.65,15.89,-34.72,2.51,,14.09,0,25.27,18.76,63.54,2.79,12.66,59.69,
Indo Amines,24.76,0.29,4.7,6.68,1.3,12.09,0.82,16.73,0.92,1.53,5.53,49.98,2.34,6.21,16.61,4.06,1466.18,13.97,410.04,1.32,2.5,3.72,0,964.95,8.84,1269.69,7.07,216.98,57.25,63.73
Endurance Tech.,46.07,0.36,6.66,8.73,1.35,33.57,0.15,13.64,0.96,1.4,7.69,720.85,1.47,2.97,16.6,22.14,33798.57,22.78,143.75,3.16,9.38,16.15,0,10616.42,13.01,33537.91,51.25,765.34,75,45.35
Apis India,5.09,0,1,12.59,1.93,13.77,0.41,24.73,1.07,1.22,2.01,28.91,1.75,15.5,16.59,5.81,206.97,5.99,22.3,0.45,0.2,-5.39,0,324.27,10.27,147.15,52.47,60.43,74.72,258.46
Ramdevbaba Sol.,19.43,0,,6.21,1.03,-10.51,1.52,21.61,0.5,3.27,10.6,13.03,2.88,7.54,16.59,2.82,366.36,11.56,-15.07,0.37,,-1.62,0,686.44,3.66,255.65,8.04,110.87,61.09,
Yaan Enterprises,38.61,0,4.6,10.14,20.54,512.5,0.19,12.68,10.62,1.03,0.34,0.49,1.18,3.97,16.57,18,18.61,24.81,-1939.67,3.64,2.28,146.76,0,5.33,12.95,19.4,1.58,0.79,68.55,152.15
Cont. Petroleums,14.11,0,2.16,5.64,1.69,17.89,0.28,12.01,1.19,1.09,5.13,3.69,2.01,11.9,16.56,4.25,57.72,7.72,29.2,0.68,0.48,-2.78,0,77.76,9.62,52.97,6.64,6.73,34.41,90.6
